project_id,repo_url,resolved_commit,has_ci,has_tests,has_docker,has_docs,has_audit,has_lintfmt,onchain_runtime,has_contracts,dep_consensus,dep_crosschain,dep_zkcrypto,dep_contract,dep_frontend,n_pallets,n_extrinsics,n_storage,n_events,n_ink_msgs,n_sol_funcs,n_contracts_def,n_rpc,status
ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,fe205b8203987ac3bfcdde5d0f969f5ad49e5ace,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,167,0,0,0,OK
assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,9d70bd6a2dcb8eca2afbe7d90ef2361771819eb3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,OK
Awesome-Polka,https://github.com/tolgayayci/awesome-polka,a0a838df2470660d9d14050890366495781704d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,6a25211ad95c84d0b259bac7bc49d6f798d44d2b,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
bit_country,https://github.com/bit-country/Bit-Country-Blockchain,375aaf8a97aa5edd684fbc07697290575e1cb114,1,0,1,0,1,0,1,0,1,1,1,1,0,24,0,71,12,16,0,3,0,OK
blackprint_js,https://github.com/Blackprint/Blackprint,01e95e1cd41117b1b33db1c2fa83f8b2b5c58ee6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OK
bright_tresury,https://github.com/bright/bright-tresury,689b6c08dde426701bbab2685043660dfa22518e,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,OK
calamar,https://github.com/topmonks/calamar,76954c810465eafaab7755d7c19308cc36726d17,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,OK
candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,f6e3c53ac9dc622cb79052c9ba010bdc54d4bef9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,0,OK
canyon_network_phrase,https://github.com/canyon-network/canyon,48e5f1da23da30f922d174a1975995eba64de21a,1,0,1,0,0,0,1,0,1,0,0,1,0,4,0,10,2,0,0,0,5,OK
centrifuge-gsrpc-v2,https://github.com/centrifuge/go-substrate-rpc-client,fa39166a1274125d7e5f676353dc6a438f4a77aa,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,OK
Cere_Turnkey_Private_Blockchain_Network,https://github.com/Cerebellum-Network/private-standalone-network-node,1bb1a23e7643d487c2914f25fff54851cb409fe9,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,OK
ces_data_store,https://github.com/CESSProject/data-store-pallet,0a1934e58efe8a51a860ded4c80446e9ecc89745,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,OK
CESS,https://github.com/Cumulus2021/cess,ed90b22fbc5c088d444c074124225941d3d313f4,0,0,0,1,0,1,1,0,1,0,0,1,0,6,0,45,3,0,0,0,0,OK
chainviz,https://github.com/helikon-labs/chainviz,bb93ab1fbe003fcd7f690f94d7ffb8b7e9eec43c,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
choko-wallet,https://github.com/choko-wallet/wallet-app,74d922808276d102869b1939bc6fee9eb52b47a7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
CILA-omnichain-infrastructure,https://github.com/Collective-Intelligence-Labs/cila-substrate,e6b68cbf5c41a0c7b0d7e919a5c4d522051d7e0f,1,0,1,1,0,1,1,0,1,0,0,0,0,6,6,4,3,0,0,0,0,OK
clover_january21,https://github.com/clover-network/clover,ebbe3721a4bfdea2a7b72f8316f4d4bd866491c0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,20,3,62,OK
Cogency,https://github.com/CogencyWeb3/Web3MediaPilot,c772f551a4860d7b0063ba7f246d871265291c6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
CoinFabrik_On_Ink_Integration_Tests,https://github.com/CoinFabrik/on-ink-integration-tests,93db4273b562803d2f68400d3dd84412cf1c583c,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,48,0,31,0,OK
Contract_wizard,https://github.com/protofire/polkadot-contract-wizard,75b2f69b43aff1bad92fa5c32b776e44d80f811f,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,10,0,0,0,OK
CoongWallet,https://github.com/CoongCrafts/coong-wallet,42cfa03b9014934462a9f8497435ca257ca56332,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
CosmWasmVM_CoreProduct,https://github.com/CosmWasm/cosmwasm,00746b5e21642a521d6bcdd2ddf22edcb8deda09,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,OK
c++polkadot-light-client,https://github.com/eqlabs/polkadot-light-client,cb3406098198c58f1a31a5ead11f5e5b31a82618,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
create-substrate-app,https://github.com/philoniare/create-substrate-app,395ffec9891bf9fc15831bec3e25b8d38d20d676,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
crossbow,https://github.com/dodorare/crossbow,7da4f92d7b1cc0ad2fbf6ed7f4765d8c473ac04e,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OK
cryptex,https://github.com/ideal-lab5/smoldot,7bb3d7ed199b5eb71e3efdc613847122f85a05a1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,OK
cryptolab-staking-reward-collector-front-end,https://github.com/cryptolab-network/chain-data-collector,91b563d7670d9bd91af5c618378a20dd62728ba0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
cScale,https://github.com/MatthewDarnell/cScale,58b2acb9db3af2b3e5108f9fdf111187ca00f39d,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
curve_amm,https://github.com/equilibrium-eosdt/equilibrium-curve-amm,5c726482e5468136fc6e10d2f9e40bde84d5af3b,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,2,1,0,0,0,0,OK
cyborg,https://github.com/Cyborg-Network/cyborg-parachain,9685a55711b2e1ec63fdbc6603965e7b3784f8d6,1,0,1,0,0,0,1,0,1,1,0,1,0,4,6,8,2,0,0,0,0,OK
cyclops,https://github.com/ArthurHoeke/cyclops,2cf70dd4370e501abc47209cd53a602aaaef4559,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
da_comparative_study,https://github.com/Chainscore/DA-Research,05d50fa309b98f0a8d50b80008687b972f57ec7c,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,OK
Dante_Network,https://github.com/dantenetwork/protocol-stack-for-ink,34cc24b32bcef99a3dccb7e0b349b21401551642,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,43,0,4,0,OK
daos,https://github.com/daos-org/daos,6aceca275d8dd1a2b2c7ae9ac42c7048a4f78bf9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,32,6,0,0,0,0,OK
DAOsign,https://github.com/DAOsign/polkadot-smart-contracts,862aa66d485e0da34ae9fbbb0c91963ab97dcb2e,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,OK
dapp_wallet_integration_native_mobile_libraries,https://github.com/tesseract-one/Tesseract.android,c8ab6953240d8cb004a9293ee94222ff13bd0557,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OK
dart-scale-codec,https://github.com/nbltrust/dart-scale-codec,22e062dfda1f0d49aab4e826d708bcf0949fc72e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
Datagen_Project,https://github.com/Datagen-Project/Datagen-Substrate-Grant,30fac49626bf290b9e7878a25b69d2dca2d5ce7d,1,0,1,1,0,1,1,0,1,0,0,0,0,6,0,19,3,0,0,0,0,OK
data_platform_with_deep_indexed_data_and_staking_reports,https://github.com/p2p-org/polkadot-grant,c22cab7f8356b9220c86cea95433beba1a309979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
datdot,https://github.com/playproject-io/datdot-service,791b8d5fdd31a36cec809b57a67d42db68e0ac89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
dauth_network,https://github.com/DAuth-Network/instant-proof,487d89776842ad737b0c06af9c55ad6732518394,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,OK
Decentralised_Security_Marketplace,https://github.com/ParthChaudhary31/Security_Marketplace_Smartcontract,b32d3aba5d47220cdfb0b1393a72d820a09f5b70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,4,0,OK
Decentralized_Threshold_Signing_Service,https://github.com/Fiono11/decentralized_threshold_signing_service,8f735e2365364c0d2fd253c3127f755dc1d09ac1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
decentralml,https://github.com/livetreetech/DecentralML,5996cd0dd3d26e63831b57b83975fb9d7b252721,0,0,1,1,0,1,1,0,1,0,0,0,0,6,6,13,3,0,0,0,0,OK
deeper_network,https://github.com/deeper-chain/deeper-chain,e3bdb757529f4a52e1169d71659f19b8a1b66016,1,1,0,1,0,1,1,1,1,0,1,1,1,18,0,109,9,0,7,1,0,OK
Deitos_Network,https://github.com/Deitos-Network/deitos-ip,39488fdc2fc831d63dceb5eebcd6165247d5ae6b,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
delightfuldot,https://github.com/CoongCrafts/delightfuldot,ab05612c309404477573a96dc2d45c2d46f0bab4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
delmonicos,https://github.com/Delmonicos/charger-node,f6b8ba673f6551b383b9a5b76c1e3cca5e5058f5,1,0,1,0,0,1,1,0,1,0,0,1,0,8,0,11,4,0,0,0,2,OK
democratic-governance,https://github.com/encointer/pallets,f6e15ecfc2a7c85905f13ec49db69073c0d3a8ae,1,0,0,0,0,1,0,0,0,0,0,0,0,18,47,67,9,0,0,0,13,OK
DIA_Bridgestate,https://github.com/diadata-org/bridgestate-ocw,b11e71a263099f1aca2695558d3b36a5176535f6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,OK
Diffy_messenger_st1_ms1,https://github.com/Belsoft-rs/diffychat-pallet,78fbb3a973aa25cc9f270e02c551fc81825a4e78,1,0,1,1,0,1,1,0,1,0,0,0,0,2,3,2,1,0,0,0,0,OK
Diffy_messenger_st1_ms2,https://github.com/Belsoft-rs/diffychat-pallet,5ff7e47cf8b6a4bf6e26a55c3836dabe44d047d5,0,0,1,1,0,1,1,0,1,0,0,0,0,2,5,3,1,0,0,0,0,OK
dipole-oracle-millestone,https://github.com/DipoleTech/dipole-oracle,daf00351fb604db519e88a894aeee2c8209885a3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,OK
distributed_cryptography_for_polkadot_wallets,https://github.com/perun-network/polkadot-wallet-grant,9bd4053d0868ecf85f2c89ca4d86f6054f3cbc1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
distributedKeyManagement,https://github.com/KryptikApp/swordExample,c23e7a72d9161f6c7a8c44f5d03ba3e64fdd8da0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,OK
DistrubutedKeyManagement,https://github.com/KryptikApp/sword,7eaab1b18123d2b098e27068c286842aa6ab50eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
DKSAP,https://github.com/GreenLemonProtocol/dksap-polkadot,baa81158fdbb1d3f06a8a062b32ca06c3e867c42,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,1,0,OK
dora-factory-multisig,https://github.com/DoraFactory/dorafactory-multisig,0857c6489d78d7fd0ec92f59434e02e688b62788,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OK
Doter,https://github.com/ChainBridgeNetworkTeam/Doter,b3a6b09ec981b64f329f421e34596ce2e37c96e0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,OK
dotflow,https://github.com/TheDotflow/dotflow-ink,465ecd535adad7b5de9f8d5a5b25158cc1055b69,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,24,0,2,0,OK
dot-login,https://github.com/singkeo/dot-login,dcfc09006da7a033c61f7c7e8f40df85721a52da,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,OK
dotly,https://github.com/justmert/dotly-backend,e4c75adf54c67a2d86f3d22860b55553641a0004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
dot_marketplace,https://github.com/WowLabz/dot_marketplace_docker,e4fc9a5ba074ba9df86f66ac5141a90f073dc90f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
dot_marketplace-Phase3,https://github.com/WowLabz/dot-marketplace-v2,f45f18301056765d913eecfaba1b72350b878b92,0,0,1,1,0,1,1,0,1,0,0,0,0,4,0,8,2,0,0,0,0,OK
dot_marketplace_v2,https://github.com/WowLabz/dot-marketplace-v2,06ca3b17963a93d09a05a73e63ac5aebc813de10,0,0,1,1,0,1,1,0,1,0,0,0,0,4,0,8,2,0,0,0,0,OK
dotmog,https://github.com/dotmog/SubstrateNetApi,7f3463903493ad241c3a7f2b7d893b17a3812ba0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
dotnix,https://github.com/sporyon/dotnix-core,e29a51734d61c150adfcba2fa6a018250e14e667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
dotnix_followup,https://github.com/sporyon/dotnix-core,88d566372d584b699bb92b45862a8191ff7fe4de,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
DotPay,https://github.com/bytepayment/bytepay,216386fc5d86c4e01c6d424914403fe60d5354fb,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,OK
dotpulse,https://github.com/CrossChainLabs-DOT/dotpulse-api,f3cf33274b9dbea3404e36faef4e3f01e496701e,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
eiger-PNS,https://github.com/eigerco/polkadot-native-storage,aa636ff6a4e96705aa37426f36e627d741a13e84,0,1,1,1,0,0,1,0,1,1,0,0,0,,,,,,,,,OK
eightfish,https://github.com/eightfish-org/eightfish,1cddd6c44d02e025ac74d4595c7d30ced4c9066d,0,1,1,1,0,1,1,0,1,0,0,0,0,,,,,,,,,OK
ElasticLabs_PolakdotAgentKit,https://github.com/elasticlabs-org/polkadot-agent-kit,edb75aaf1d2d1f999b62425642bd39b3d4b27203,1,1,0,0,0,1,0,0,1,1,0,1,1,,,,,,,,,OK
eliza-plugin-dot,https://github.com/ChainSupport/eliza-plugin-dot,a10238298076bdcdec679f73eb5636ffb74992f4,0,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,OK
ElizaPolkadotPlugin,https://github.com/elizaOS/eliza,9ea1bd682f0de73dd22b28ff5aff119ed57f8e39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
epirus_substrate_explorer,https://github.com/web3labs/epirus-substrate,7b9f6695638b7da1c6844176feec9e28209426c2,1,1,1,0,0,1,0,1,0,0,0,1,1,,,,,,,,,OK
epirus_substrate_explorer-phase2,https://github.com/web3labs/epirus-substrate,c27c1dc56ca69d263e61d0f0d5e59b979eb19057,1,1,1,0,0,1,0,1,0,0,0,1,1,,,,,,,,,OK
epirus_substrate-phase2,https://github.com/web3labs/epirus-substrate,0c79496b75cd2c50996a067dfd9353c375362506,1,1,1,0,0,1,0,1,0,0,0,1,1,,,,,,,,,OK
escrow,https://github.com/herou/EscrowPallet,4a2150f6cd1519dcc83195ca6c309e56f40a08dc,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
Evanesco_Network,https://github.com/Evanesco-Labs/WhiteNoise.rs,3d37dbf691177bbd660df0fb7b8c60a6a79cc5c4,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,OK
Faceless,https://github.com/HeisenbergLin22/Faceless_milestone2_delivery,2db2b8a068f48a5beae4907188b096159427fed4,0,1,1,1,0,1,1,0,1,0,0,1,1,,,,,,,,,OK
faceless_delivery,https://github.com/HeisenbergLin22/Faceless_milestone1,fa34685ebaccc67212ea68fe06a0a0787aa7a12e,0,1,1,1,0,1,1,0,1,0,0,1,1,,,,,,,,,OK
fair_squares,https://github.com/Fair-Squares/fair-squares,4af2375d2885bebe0b965429fae40aade69e9c30,1,0,1,1,0,1,1,0,1,0,0,1,0,,,,,,,,,OK
faterium,https://github.com/faterium/faterium-node,8e1df0640059b4cdb81cafe9cca394f670e354cb,1,1,1,1,0,1,1,0,1,0,0,0,0,,,,,,,,,OK
Faucet,https://github.com/karooolis/sybil-resistant-substrate-faucet,a9c7b2fc87df5c0213595fef27d2f262774c4240,0,1,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,OK
fennel-protocol,https://github.com/fennelLabs/Fennel-Protocol,29d21e896e7e735a07d385bcd8eb1c2167aa3246,1,0,1,0,0,1,1,0,1,0,0,0,0,,,,,,,,,OK
FIAT-on-off-ramp,https://github.com/element36-io/ebics-java-service,7b050853c546a5bbb1f46b7ef4fa644034a8b36e,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
fidi-dotsight,https://github.com/fidi-tech/dotsight,12280b45f5f1ddd855d6b91eaee4abbf1916f534,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,OK
fractapp,https://github.com/fractapp/fractapp,6a8facadd43b421dbd9289d789a921f75f0532a1,0,1,0,1,0,1,0,0,1,0,0,0,1,,,,,,,,,OK
FuturProtocol,https://github.com/RELAI-Network/relai-network,19feb86afec6ed8c227ae860076086399aac5326,0,0,0,0,0,1,1,0,1,0,0,1,0,,,,,,,,,OK
Gafi,https://github.com/cryptoviet/gafi,2090ecdf9b829b8aef1aa27ce27d32eb214529ec,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,OK
galaxy,https://github.com/7flash/galaxy-polkadot,f97d5e2e5eab3322782f72d3b469d11cbf7e94a9,0,1,1,0,0,1,0,0,1,0,0,1,1,,,,,,,,,OK
GenesisDAO,https://github.com/deep-ink-ventures/genesis-dao-node,e8e1cfe1bcceeae832175883ecd448b9138b071e,0,1,1,1,0,1,1,0,1,0,0,1,0,,,,,,,,,OK
gluon,https://github.com/tearust/gluon-website,815843ecd61b75e1ee19ebaef9190954616bf0fa,0,1,1,1,0,1,0,0,1,0,1,1,1,,,,,,,,,OK
grant_management_webapp,https://github.com/antiers-solutions/gmw-frontend,93cefb64f55038d87c0e8498a591569afdf66bf3,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,OK
grantmaster,https://github.com/Zaniyar/grantmaster,b0b3c1cf56f79e97a6c39d41e324a02b15f4f76e,0,1,1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,OK
GreenLemon,https://github.com/GreenLemonProtocol/dksap-polkadot,6cc3eaab72bef3e5d5cf7a7a215a835de7af8dfc,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,OK
halva_bootstrapping,https://github.com/halva-suite/halva,4103aeb62c08725b4045a2f62af315f4bb1ae685,0,1,0,1,0,1,0,1,0,0,0,0,1,,,,,,,,,OK
halva-framework,https://github.com/halva-suite/halva,02fb082de0c6f7d404030388cbf00a0d57b4b5b0,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,OK
hamster-millestone,https://github.com/hamster-shared/hamster,5e1ea087d1d4a7935573c0891e2603f9ff11d719,0,0,1,1,0,0,1,0,1,0,0,1,0,,,,,,,,,OK
hex-space-social-graph,https://github.com/rust-0x0/hex-space-protocol-substrate,3653ef6a45284297f457e4a749c1527f74cb7323,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,OK
High-Availability validator setup,https://github.com/tikv/tikv,88bd7f1fe2cbcac31d516f76b10f1f213375a06f,0,1,1,1,1,1,0,0,1,1,0,1,1,,,,,,,,,OK
hs-web3,https://github.com/airalab/hs-web3,d63ce43a5de964aa9259c1b5cde4b98be4bf6465,1,1,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,,OK
hybrid,https://github.com/hybrid-explorer/hybrid-indexer,b7a5ebccfb25665236574e24bbf0adc198dbb0e9,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
hybrid2,https://github.com/hybrid-explorer/hybrid-indexer,a15b1ce1a4e40546e22e818d034880ca37187a60,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
hybrid-node-research,https://github.com/Zondax/mayon,bfb7f1da367f7dc7fa270927a8efeeae5c29fc8a,0,1,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,OK
Hyperdot,https://github.com/Infra3-Network/hyperdot-node,68be8b95b572a0ce884107b8b53503ce75fb9883,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
hyperfridge,https://github.com/element36-io/hyperfridge-r0,9803622bf7c2a04f539489684547a06d6cf18dab,1,1,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,OK
idavoll_network,https://github.com/idavollnetwork/idavoll,79dc2c70e29d45f848067ad1d2e5a2805ce4d488,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,OK
identics_identity_indexer,https://github.com/vikiival/identics,5b410184662d322a5b98be779e3135a00d6cf3c3,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,OK
identity_directory,https://github.com/Shard-Labs/identity-directory,781b9f2a35b5ef69761afc89d48395c1250d0590,0,1,1,1,0,1,0,0,1,0,0,1,1,,,,,,,,,OK
imbue_network,https://github.com/imbuenetwork/imbue,952d181881b114258d778935b0b1b286db1d3dc0,1,0,1,0,0,0,1,0,1,1,0,0,0,,,,,,,,,OK
infimum,https://github.com/rhysbalevicius/infimum,1f22ce36f370b4111075877356b8058835d05ba7,1,1,1,0,0,0,1,0,1,0,1,1,1,,,,,,,,,OK
ink-analyzer,https://github.com/ink-analyzer/ink-analyzer,6e2488408f82e70a5794c2cf2b45dc231e8d7b90,1,1,1,0,0,1,0,1,0,0,0,1,0,,,,,,,,,OK
ink-analyzer-phase,https://github.com/ink-analyzer/ink-analyzer,9d0122863b9060234299e9ac6fc633ec82aa6c4d,1,1,1,0,0,1,0,1,0,0,0,1,0,,,,,,,,,OK
